statistical_sector,ID,n_trees,n_benches,n_trashcans,area_in_ha,total_number_of_inhabitants,population_density_per_km2,men,women,population_0_17_year_olds,population_20_39_year_olds,population_40_59_year_olds,population_60_79_year_olds,population_80_year_olds,births,deaths,natural_growth_b_d,total_growth,elderly_dependency_ratio,youth_dependency_ratio,caregiving_ratio,dependency_coefficient,family_care_index,non_belgian_current_nationality_w_r_t_to_residents,non_belgian_origin_w_r_t_to_inhabitants,private_households,households_without_lipro_children,multi_person_households_with_at_least_1_minor_lipro_child,multi_person_households_with_only_minor_lipro_child_ren,household_1_person,household_2_persons,household_3_persons,household_4_persons,household_5_persons,living_alone_w_r_t_to_private_households,household_without_lipro_children_w_r_t_private_households,multi_person_households_with_at_least_1_minor_lipro_child_w_r_t_private_households,single_parent_household_with_min_1_minor_lipro_child_vs_household_with_min_1_minor_lipro_child,nwwz_unemployed_jobseekers_w_r_t_inhabitants_18_64_yo,nwwz_unemployed_jobseekers,nwwz_short_term_unemployed_jobseekers,nwwz_long_term_unemployed_jobseekers,nwwz_very_long_term_unemployed_jobseekers,commercial_properties,commercial_properties_per_1000_inhabitants,stores_food_products,stores_personal_care,stores_clothing_and_fashion,stores_household_goods,stores_leisure,stores_in_and_around_the_house,stores_brown_and_white_goods,stores_car_and_bicycle,stores_do_it_yourself,stores_others,bars_and_restaurants,consumer_oriented_services_culture,consumer_oriented_services_transportation_and_fuels,consumer_oriented_services_recreation,consumer_oriented_services_others,commercial_properties_vacant_incl_renovation_until_2019,vacant_commercial_properties_w_r_t_commercial_properties_percent,stores_daily_goods_w_r_t_to_stores,commercial_properties_other_retail_w_r_t_to_retail,stores_periodic_goods_w_r_t_stores,stores_periodic_goods_vs_stores,residential_units_in_apartments,residential_units_in_collective_housing,residential_units_in_individual_housing,renters_w_r_t_households_with_known_title_of_ownership,social_rental_housing_social_housing_company_social_rental_office,persons_with_an_increased_allowance,persons_with_an_increased_allowance_w_r_t_persons_on_health_insurance,average_net_taxable_income_per_resident,preschool_students,elementary_school_students,secondary_school_students,indicator_pupils_primary_education_percent,indicator_pupils_secondary_education_percent,education_deprivation_indicator_value_primary_education_ratio,education_deprivation_indicator_value_secondary_education_ratio
Alsemberg,24062D691,363,7,3,166.47,182,109,93,89,49,42,48,32,11,NA,NA,2,-4,31.7,48.5,7.3,80.2,45.8,0.055,0.082,61,24,25,12,11,11,18,13,8,0.18,0.393,0.41,NA,NA,NA,NA,NA,NA,2,10.99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,1,NA,NA,64,0.097,0,12,0.067,NA,8,17,14,NA,NA,0.42,0.36
Bankstraat,24062A52-,561,82,51,25.87,2170,8389,1089,1081,237,1123,383,353,74,24,6,18,10,21.5,14.9,9.9,36.4,41.6,0.315,0.431,1347,1166,131,50,834,331,89,71,22,0.619,0.866,0.097,0.168,0.044,72,0.597,0.194,0.208,14,6.45,4,1,0,0,0,0,0,0,0,0,3,0,1,1,4,0,NA,1,NA,NA,NA,1295,26,673,0.658,36,346,0.196,20538,53,70,72,0.336,0.449,0.84,1.1
Barreel,24062C59-,13,0,0,18.22,65,357,32,33,20,20,11,7,7,NA,NA,1,1,32.4,58.8,2.6,91.2,175,0.046,0.277,22,10,8,NA,NA,7,NA,NA,NA,NA,0.455,0.364,NA,NA,NA,NA,NA,NA,1,15.38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,21,NA,0,12,0.197,16276,NA,7,NA,NA,NA,0.5,NA
Belle-Vue,24062C41-,558,19,16,54.77,3375,6162,1633,1742,750,1101,821,563,140,43,23,20,33,24.8,35.7,9.9,60.5,36.3,0.122,0.266,1523,1019,363,141,593,438,213,164,115,0.389,0.669,0.238,0.154,0.037,79,0.532,0.203,0.266,22,6.52,3,1,1,0,0,0,0,0,0,0,5,0,2,0,9,1,0.045,0.8,NA,0.2,NA,749,NA,991,0.416,28,318,0.101,23824,116,220,226,0.284,0.363,0.58,1.65
Beneden Kessel,24062C50-,437,15,14,81.75,2146,2625,1055,1091,511,516,532,484,103,26,13,13,-37,39.3,43.5,9.9,82.8,41.2,0.095,0.26,920,585,234,101,302,313,124,99,82,0.328,0.636,0.254,0.184,0.039,47,0.681,0.149,0.17,14,6.52,4,1,0,0,1,0,0,0,0,0,3,0,0,0,5,0,NA,0.833,NA,0.167,NA,203,NA,780,0.285,59,161,0.081,22742,112,163,158,0.416,0.419,0.92,0.74
Beneden Lo,24062C32-,99,9,4,78.79,730,927,332,398,179,209,165,148,29,11,NA,9,-14,30.9,42.5,10.8,73.4,38.7,0.04,0.137,291,178,83,30,71,108,35,52,25,0.244,0.612,0.285,0.084,0.037,17,0.647,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,245,0.215,0,41,0.057,28818,31,67,51,0.134,0.22,0.34,0.5
Blauwput Centrum,24062C00-,104,24,26,18.44,1555,8432,798,757,310,689,360,159,37,22,12,10,13,12.8,28.1,14,40.9,25.3,0.22,0.44,739,556,140,43,320,230,62,80,47,0.433,0.752,0.189,0.164,0.042,48,0.563,0.208,0.229,79,50.8,10,4,1,1,1,6,1,0,2,4,19,0,0,1,21,6,0.101,0.467,0.133,0.1,0.3,323,NA,576,0.558,8,322,0.208,19630,56,95,104,0.503,0.68,2.08,2.39
Blijde Inkomststraat,24062A31-,122,2,0,5.39,361,6697,209,152,35,211,53,42,20,NA,NA,0,-11,17.7,12.6,4.8,30.3,87,0.468,0.576,236,213,16,7,158,51,14,8,5,0.669,0.903,0.068,NA,0.071,19,0.526,NA,0.368,20,55.4,0,0,1,0,2,0,0,0,0,0,11,0,0,0,4,2,0.1,NA,NA,1,NA,368,NA,136,0.809,2,148,0.415,16746,9,10,10,0.778,NA,1.61,0.78
Bondgenotenlaan,24062A20-,32,7,23,6.77,462,6822,229,233,26,306,76,42,12,NA,NA,0,7,10.7,6.6,9.8,17.3,26.1,0.457,0.587,325,303,16,6,222,81,13,8,NA,0.683,0.932,0.049,NA,0.036,16,0.5,0.188,0.313,191,413.42,12,11,45,1,7,3,3,0,1,1,35,2,0,1,27,38,0.22,0.274,0.012,0.631,0.083,581,NA,234,0.884,1,64,0.164,19191,8,NA,NA,0.583,NA,2,NA
Booleeg,24062D512,181,24,5,47.11,628,1333,315,313,123,116,179,194,16,6,5,1,-8,37.2,33.4,23.3,70.7,14.8,0.067,0.164,250,148,62,40,43,113,40,36,18,0.172,0.592,0.248,0.129,0.022,9,0.667,NA,0.333,2,3.18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,255,0.098,0,22,0.034,35236,18,48,43,NA,NA,0.2,0.1
